"filename", "language", "TypeScript", "JavaScript", "JSON", "MS SQL", "comment", "blank", "total"
"/home/bira/api_patrimonio/.history/src/controllers/jtemsControllers_20260416010328.js", "JavaScript", 0, 92, 0, 0, 1, 7, 100
"/home/bira/api_patrimonio/.history/src/controllers/stagingTableControllers_20260417093434.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/controllers/stagingTableControllers_20260417093815.js", "JavaScript", 0, 51, 0, 0, 0, 4, 55
"/home/bira/api_patrimonio/.history/src/controllers/stagingTableControllers_20260417093856.js", "JavaScript", 0, 51, 0, 0, 0, 4, 55
"/home/bira/api_patrimonio/.history/src/database/pg_20260413155604.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/database/pg_20260413155931.js", "JavaScript", 0, 5, 0, 0, 0, 1, 6
"/home/bira/api_patrimonio/.history/src/database/prisma_20260413155524.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/database/prisma_20260413155542.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"/home/bira/api_patrimonio/.history/src/repositories/adminRepository_20260416011511.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/repositories/adminRepository_20260416012105.js", "JavaScript", 0, 40, 0, 0, 0, 5, 45
"/home/bira/api_patrimonio/.history/src/repositories/adminRepository_20260416012423.js", "JavaScript", 0, 33, 0, 0, 1, 5, 39
"/home/bira/api_patrimonio/.history/src/repositories/adminRepository_20260416090431.js", "JavaScript", 0, 35, 0, 0, 1, 5, 41
"/home/bira/api_patrimonio/.history/src/repositories/authorRepositories_20260413160227.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/repositories/authorRepositories_20260413160257.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/authorRepositories_20260413161244.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413165113.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413165301.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413165342.js", "JavaScript", 0, 1, 0, 0, 0, 2, 3
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413165455.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413165913.js", "JavaScript", 0, 12, 0, 0, 0, 4, 16
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413170208.js", "JavaScript", 0, 18, 0, 0, 0, 3, 21
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413170318.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413170328.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413170558.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413170933.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413224123.js", "JavaScript", 0, 22, 0, 0, 0, 4, 26
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413224303.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413224323.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"/home/bira/api_patrimonio/.history/src/repositories/categoriesRepository_20260413224535.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
